availability_day,availability_hour,station_number,station_name,available_bikes,temperature,humidity,wind_speed,pressure,weather_main
Saturday,9,42,"ORIEL STREET TEST TERMINAL",30,279.41,81,5.66,1036,Clouds
Saturday,9,42,"CLARENDON ROW",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"BLESSINGTON STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"BOLTON STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"GREEK STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"CHARLEMONT PLACE",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"CHRISTCHURCH PLACE",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"HIGH STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"CUSTOM HOUSE QUAY",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"EXCHEQUER STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"DAME STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"EARLSFORT TERRACE",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"ECCLES STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"FITZWILLIAM SQUARE WEST",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"FOWNES STREET UPPER",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"HARDWICKE STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"GEORGES QUAY",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"GOLDEN LANE",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"GRANTHAM STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"HERBERT PLACE",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"JAMES STREET EAST",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"LEINSTER STREET SOUTH",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"TOWNSEND STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"CUSTOM HOUSE",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"CATHAL BRUGHA STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"MERRION SQUARE EAST",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"MERRION SQUARE WEST",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"MOLESWORTH STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"MOUNTJOY SQUARE WEST",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"ORMOND QUAY UPPER",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"PARNELL SQUARE NORTH",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"PARNELL STREET",30,279.37,80,5.66,1035,Clouds
Saturday,9,42,"PEARSE STREET",30,279.37,80,5.66,1035,Clouds
